event_id,repo,file_name,real_defect,exception_type,exception_idx,http_status,app_code_changed,validator_changed,schema_changed,fixture_changed,config_changed,locator_healed,historical_flake_rate,commit_count,unique_developers,lines_added,lines_deleted,code_churn,file_age_days,commit_frequency
elasticsearch-ev00000,elasticsearch,elasticsearch/x-pack/watcher/src/main/java/org/elasticsearch/watcher/condition/script/ScriptCondition.java,0,AttributeError,3,0,0,1,0,0,0,0,0.07303732272175407,1.0,1.0,2.0,1.0,3.0,0.0,0.0
elasticsearch-ev00000,elasticsearch,x-pack/plugin/sql/src/benchmarks/generated/org/elasticsearch/xpack/sql/action/jmh_generated/OperatorBenchmark_testVisitAllDocsBatched_jmhTest.java,1,AttributeError,3,0,0,1,0,0,0,0,0.07303732272175407,2.0,1.0,455.0,455.0,910.0,0.89,2.2472
elasticsearch-ev00000,elasticsearch,test/fixtures/minio-fixture/docker-compose.yml,1,AttributeError,3,0,0,1,0,0,0,0,0.07303732272175407,6.0,5.0,38.0,51.0,89.0,1426.77,0.0042
elasticsearch-ev00001,elasticsearch,x-pack/plugin/transform/qa/multi-cluster-tests-with-security/src/test/resources/rest-api-spec/test/multi_cluster/80_transform.yml,1,ValueError,4,400,1,1,0,0,0,0,0.3672067173505017,13.0,4.0,224.0,83.0,307.0,1739.44,0.0075
elasticsearch-ev00001,elasticsearch,server/src/main/java/org/elasticsearch/rest/action/admin/cluster/RestClusterUpdateSettingsAction.java,1,ValueError,4,400,1,1,0,0,0,0,0.3672067173505017,24.0,15.0,86.0,100.0,186.0,2881.26,0.0083
elasticsearch-ev00001,elasticsearch,plugins/hadoop/src/main/java/es-plugin.properties,0,ValueError,4,400,1,1,0,0,0,0,0.3672067173505017,2.0,2.0,1.0,1.0,2.0,561.57,0.0036
elasticsearch-ev00001,elasticsearch,build-tools-internal/src/testKit/elasticsearch.build/licenses/hamcrest-core-1.3.jar.sha1,0,ValueError,4,400,1,1,0,0,0,0,0.3672067173505017,1.0,1.0,0.0,1.0,1.0,0.0,0.0
elasticsearch-ev00001,elasticsearch,core/src/test/java/org/elasticsearch/plugins/PluginManagerIT.java,1,ValueError,4,400,1,1,0,0,0,0,0.3672067173505017,23.0,10.0,376.0,123.0,499.0,77.55,0.2966
elasticsearch-ev00002,elasticsearch,elasticsearch/src/main/java/org/elasticsearch/xpack/prelert/action/GetInfluencersAction.java,1,ValueError,4,200,0,0,0,0,0,0,0.39203864538223626,11.0,5.0,372.0,41.0,413.0,51.74,0.2126
elasticsearch-ev00002,elasticsearch,client/{ => rest}/src/main/java/org/elasticsearch/client/DeadHostState.java,0,ValueError,4,200,0,0,0,0,0,0,0.39203864538223626,1.0,1.0,0.0,0.0,0.0,0.0,0.0
elasticsearch-ev00002,elasticsearch,x-pack/plugin/core/src/main/java/org/elasticsearch/xpack/core/watcher/trigger/TriggerEvent.java,1,ValueError,4,200,0,0,0,0,0,0,0.39203864538223626,7.0,5.0,29.0,22.0,51.0,1051.58,0.0067
