k,method,n_events,n_rows,base_rate,ece_10bin,p1_mean
2,pre_only,1300,2839,0.5421,0.1371,0.8769
2,fused_rule,1300,2839,0.5421,0.123,0.8769
2,fused_ml,1300,2839,0.5421,0.1426,0.83
2,llm_sonnet,1300,2839,0.5421,0.2446,0.6969
2,llm_gpt4omini,1300,2839,0.5421,0.333,0.4754
3,pre_only,1260,3961,0.3638,0.0657,0.8222
3,fused_rule,1260,3961,0.3638,0.0656,0.8222
3,fused_ml,1260,3961,0.3638,0.0767,0.7802
3,llm_sonnet,1260,3961,0.3638,0.1111,0.577
3,llm_gpt4omini,1260,3961,0.3638,0.1907,0.3452
4,pre_only,1021,4208,0.2721,0.0323,0.7806
4,fused_rule,1021,4208,0.2721,0.0452,0.7826
4,fused_ml,1021,4208,0.2721,0.0438,0.7502
4,llm_sonnet,1021,4208,0.2721,0.0788,0.5024
4,llm_gpt4omini,1021,4208,0.2721,0.1324,0.2684
all,pre_only,1323,6988,0.2311,0.0209,0.777
all,fused_rule,1323,6988,0.2311,0.0626,0.78
all,fused_ml,1323,6988,0.2311,0.0326,0.7475
all,llm_sonnet,1323,6988,0.2311,0.0585,0.4906
all,llm_gpt4omini,1323,6988,0.2311,0.1093,0.2721
