repo,n_events,p1_mean,p3_mean,r5_mean,mrr_mean,triage_s_mean,ece_10bin
bugsinpy:PySnooper,3,0.6667,0.4444,1.0,0.8333,4.0,0.1944
bugsinpy:ansible,18,0.2778,0.2778,1.0,0.537,7.33,0.1346
bugsinpy:black,23,0.913,0.3623,1.0,0.9493,3.39,0.0731
bugsinpy:cookiecutter,4,0.5,0.4167,1.0,0.75,4.5,0.2
bugsinpy:fastapi,16,0.5,0.3125,0.9375,0.6812,6.56,0.1036
bugsinpy:httpie,5,0.2,0.1333,1.0,0.44,9.6,0.2083
bugsinpy:keras,44,0.3864,0.2955,0.9424,0.5939,7.43,0.0528
bugsinpy:luigi,33,0.4545,0.2424,0.9091,0.6127,7.91,0.0645
bugsinpy:matplotlib,30,0.5333,0.3556,0.9833,0.7444,4.8,0.0279
bugsinpy:pandas,168,0.3929,0.3155,0.9122,0.6086,7.18,0.038
bugsinpy:sanic,5,0.4,0.3333,1.0,0.6333,6.0,0.1716
bugsinpy:scrapy,40,0.35,0.25,0.865,0.5567,8.25,0.077
bugsinpy:spacy,10,0.4,0.3333,0.9,0.6,7.2,0.1356
bugsinpy:thefuck,32,0.375,0.2604,0.9062,0.588,7.69,0.0841
bugsinpy:tornado,16,0.375,0.3125,0.9375,0.6115,6.94,0.1012
bugsinpy:tqdm,9,0.3333,0.2593,1.0,0.5722,7.67,0.171
bugsinpy:youtube-dl,43,0.5581,0.3721,0.9651,0.749,5.16,0.0476
defects4j:Cli,39,0.5641,0.3248,0.9038,0.7037,6.69,0.0895
defects4j:Closure,173,0.5723,0.3526,0.9546,0.7291,5.69,0.0623
defects4j:Codec,18,0.5556,0.3519,0.9259,0.6857,6.83,0.2121
defects4j:Collections,28,0.4643,0.2262,0.8929,0.6077,8.04,0.1528
defects4j:Compress,47,0.2979,0.2482,0.8947,0.5365,8.11,0.158
defects4j:Csv,16,0.5,0.2708,0.9375,0.6537,7.31,0.0925
defects4j:Gson,18,0.3889,0.3519,0.8889,0.5991,7.5,0.1407
defects4j:JacksonCore,26,0.4615,0.359,0.9423,0.6491,6.81,0.1452
defects4j:JacksonDatabind,110,0.3273,0.3212,0.9118,0.5641,7.61,0.1089
defects4j:JacksonXml,6,0.0,0.0,0.5,0.1921,16.5,0.3211
defects4j:Jsoup,93,0.1828,0.2796,0.8783,0.4727,8.81,0.2051
defects4j:JxPath,22,0.5455,0.4091,0.9545,0.7008,6.14,0.1506
defects4j:Lang,61,0.9016,0.3333,1.0,0.9426,3.44,0.0488
defects4j:Math,103,0.9223,0.3738,1.0,0.9547,3.35,0.057
defects4j:Mockito,38,0.3158,0.2895,0.9026,0.5662,7.82,0.1144
defects4j:Time,26,0.7308,0.359,0.9615,0.8452,4.5,0.0434
