repo,n_events,p1_mean,p3_mean,r5_mean,mrr_mean,triage_s_mean,ece_10bin
bugsinpy:PySnooper,3,0.6667,0.4444,1.0,0.8333,4.0,0.1556
bugsinpy:ansible,18,0.1111,0.3148,0.9444,0.4463,8.17,0.0883
bugsinpy:black,23,0.913,0.3623,1.0,0.9493,3.39,0.1581
bugsinpy:cookiecutter,4,0.25,0.4167,1.0,0.5833,6.0,0.1438
bugsinpy:fastapi,16,0.5,0.3125,0.9375,0.6844,6.38,0.1077
bugsinpy:httpie,5,0.0,0.0667,1.0,0.2467,12.6,0.0408
bugsinpy:keras,44,0.3864,0.3182,0.9273,0.5872,7.7,0.0757
bugsinpy:luigi,33,0.3636,0.2626,0.8788,0.5922,7.64,0.043
bugsinpy:matplotlib,30,0.5667,0.3111,0.9833,0.7278,5.5,0.0761
bugsinpy:pandas,168,0.4167,0.3194,0.9345,0.6272,6.96,0.0467
bugsinpy:sanic,5,0.4,0.2,1.0,0.6,7.2,0.1974
bugsinpy:scrapy,40,0.2,0.25,0.92,0.4692,9.0,0.0447
bugsinpy:spacy,10,0.3,0.3,0.9,0.5583,7.5,0.088
bugsinpy:thefuck,32,0.3438,0.2812,0.875,0.5732,7.78,0.0456
bugsinpy:tornado,16,0.4375,0.3333,0.875,0.6479,6.94,0.1041
bugsinpy:tqdm,9,0.6667,0.3333,1.0,0.8,5.0,0.0667
bugsinpy:youtube-dl,43,0.4884,0.3333,0.8605,0.6678,6.98,0.0855
defects4j:Cli,39,0.2821,0.2991,0.8889,0.5239,8.31,0.1053
defects4j:Closure,173,0.1272,0.2062,0.7348,0.3722,11.6,0.1877
defects4j:Codec,18,0.3333,0.2963,0.8148,0.5209,9.33,0.2019
defects4j:Collections,28,0.1071,0.1548,0.7857,0.354,11.79,0.1785
defects4j:Compress,47,0.1277,0.1631,0.8298,0.38,10.85,0.1607
defects4j:Csv,16,0.3125,0.1875,0.8438,0.513,9.19,0.1577
defects4j:Gson,18,0.2222,0.3148,0.8333,0.4755,9.17,0.1314
defects4j:JacksonCore,26,0.3462,0.2949,0.9231,0.5304,9.0,0.1371
defects4j:JacksonDatabind,110,0.1909,0.2394,0.7906,0.4183,10.61,0.1618
defects4j:JacksonXml,6,0.0,0.0,0.5,0.1837,17.0,0.2
defects4j:Jsoup,93,0.172,0.2366,0.8013,0.4237,10.35,0.1804
defects4j:JxPath,22,0.3182,0.3485,0.7727,0.5145,9.55,0.1554
defects4j:Lang,61,0.2131,0.1749,0.8197,0.4378,10.38,0.1608
defects4j:Math,103,0.165,0.1958,0.7476,0.3928,11.5,0.1773
defects4j:Mockito,38,0.1053,0.1404,0.7395,0.3373,12.32,0.2189
defects4j:Time,26,0.3077,0.2308,0.8718,0.5132,9.35,0.1015
