event_id,method,n_files,n_real,prec_at_1,prec_at_3,recall_at_5,triage_sec,found_first,repo
elasticsearch-ev00000,pre_only,3,2,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00001,pre_only,5,3,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00002,pre_only,5,3,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00003,pre_only,6,3,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00004,pre_only,7,4,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00005,pre_only,6,3,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00006,pre_only,3,2,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00007,pre_only,5,3,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00008,pre_only,4,2,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00009,pre_only,5,3,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00010,pre_only,7,4,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00011,pre_only,7,4,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00012,pre_only,8,4,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00013,pre_only,8,4,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00014,pre_only,5,3,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00015,pre_only,3,2,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00016,pre_only,7,4,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00017,pre_only,6,3,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00018,pre_only,6,3,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00019,pre_only,8,4,1.0,0.6666666666666666,0.75,0,1,elasticsearch
elasticsearch-ev00020,pre_only,8,4,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00021,pre_only,8,4,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00022,pre_only,3,2,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00023,pre_only,4,2,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00024,pre_only,5,3,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00025,pre_only,3,2,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00026,pre_only,4,2,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00027,pre_only,7,4,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00028,pre_only,7,4,1.0,0.6666666666666666,0.75,0,1,elasticsearch
elasticsearch-ev00029,pre_only,8,4,1.0,1.0,0.75,0,1,elasticsearch
elasticsearch-ev00030,pre_only,6,3,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00031,pre_only,6,3,1.0,0.3333333333333333,1.0,0,1,elasticsearch
elasticsearch-ev00032,pre_only,3,2,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00033,pre_only,5,3,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00034,pre_only,6,3,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00035,pre_only,5,3,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00036,pre_only,8,4,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00037,pre_only,3,2,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00038,pre_only,7,4,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00039,pre_only,3,2,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00040,pre_only,6,3,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00041,pre_only,5,3,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00042,pre_only,4,2,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00043,pre_only,5,3,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00044,pre_only,3,2,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00045,pre_only,7,4,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00046,pre_only,4,2,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00047,pre_only,6,3,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00048,pre_only,4,2,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00049,pre_only,8,4,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00050,pre_only,7,4,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00051,pre_only,7,4,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00052,pre_only,6,3,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00053,pre_only,4,2,1.0,0.3333333333333333,1.0,0,1,elasticsearch
elasticsearch-ev00054,pre_only,6,3,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00055,pre_only,8,4,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00056,pre_only,7,4,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00057,pre_only,5,3,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00058,pre_only,8,4,1.0,0.6666666666666666,0.75,0,1,elasticsearch
elasticsearch-ev00059,pre_only,7,4,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00060,pre_only,7,4,1.0,1.0,0.75,0,1,elasticsearch
elasticsearch-ev00061,pre_only,8,4,1.0,1.0,1.0,0,1,elasticsearch
