event_id,n_files,n_defects,p1,p3,r5,mrr,triage_s,method
d4j-Cli-1,4,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Cli-2,7,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Cli-3,7,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Cli-4,4,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Cli-5,3,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Cli-7,6,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Cli-8,5,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Cli-9,3,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Cli-10,8,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Cli-11,3,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Cli-12,4,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Cli-13,6,3,1.0,1.0,1.0,1.0,3.0,pre_only
d4j-Cli-14,8,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Cli-15,6,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Cli-16,7,4,1.0,1.0,1.0,1.0,3.0,pre_only
d4j-Cli-17,5,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Cli-18,4,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Cli-19,5,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Cli-20,8,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Cli-21,3,3,1.0,1.0,1.0,1.0,3.0,pre_only
d4j-Cli-22,4,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Cli-23,6,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Cli-24,7,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Cli-25,3,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Cli-26,6,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Cli-27,6,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Cli-28,6,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Cli-29,5,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Cli-30,3,2,1.0,0.6666666666666666,1.0,1.0,3.0,pre_only
d4j-Cli-31,3,3,1.0,1.0,1.0,1.0,3.0,pre_only
d4j-Cli-32,3,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Cli-33,5,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Cli-34,8,2,1.0,0.6666666666666666,1.0,1.0,3.0,pre_only
d4j-Cli-35,5,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Cli-36,3,2,1.0,0.6666666666666666,1.0,1.0,3.0,pre_only
d4j-Cli-37,5,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Cli-38,3,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Cli-39,7,1,0.0,0.3333333333333333,1.0,0.3333333333333333,9.0,pre_only
d4j-Cli-40,4,1,0.0,0.3333333333333333,1.0,0.3333333333333333,9.0,pre_only
d4j-Closure-1,6,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-2,4,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-3,8,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-4,4,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-5,8,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-6,7,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-7,4,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-8,7,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-9,7,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-10,8,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-11,3,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-12,3,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-13,6,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-14,3,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-15,3,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-16,7,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-17,7,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-18,8,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-19,5,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-20,4,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-21,7,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-22,3,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-23,8,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-24,6,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-25,8,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-26,8,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-27,7,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-29,8,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-30,8,2,1.0,0.6666666666666666,1.0,1.0,3.0,pre_only
d4j-Closure-31,8,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-32,4,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-33,3,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
