method,repo,n_events,prec_at_1,prec_at_3,recall_at_5
pre_only,elasticsearch,1200,0.9567,0.7933,0.9705
pre_only,express,1200,1.0,1.0,0.8628
pre_only,hadoop,1200,0.9067,0.6589,0.9806
pre_only,kafka,1200,1.0,1.0,0.865
pre_only,spring-boot,1200,0.8358,0.4167,0.9925
fail_only,elasticsearch,1200,0.5758,0.5628,0.8681
fail_only,express,1200,1.0,1.0,0.8628
fail_only,hadoop,1200,0.435,0.4239,0.8708
fail_only,kafka,1200,1.0,1.0,0.865
fail_only,spring-boot,1200,0.2492,0.2419,0.8525
fused_rule,elasticsearch,1200,0.9558,0.7933,0.97
fused_rule,express,1200,1.0,1.0,0.8628
fused_rule,hadoop,1200,0.9042,0.6589,0.98
fused_rule,kafka,1200,1.0,1.0,0.865
fused_rule,spring-boot,1200,0.835,0.4167,0.9921
fused_ml,elasticsearch,1200,0.9592,0.7969,0.9675
fused_ml,express,1200,1.0,1.0,0.8628
fused_ml,hadoop,1200,0.9175,0.6608,0.9831
fused_ml,kafka,1200,1.0,1.0,0.865
fused_ml,spring-boot,1200,0.845,0.4189,0.9912
